scene_name,scene_token,decision,tags,notes,representative_sample_token,representative_cam_front,location,description,reviewed_at
scene-0001,73030fb67d3c46cfb5e590168088ae39,skip,,,e380df67fa3d49c7add4657b69605cdc,samples/CAM_FRONT/n015-2018-07-18-11-07-57+0800__CAM_FRONT__1531883544012463.jpg,singapore-onenorth,"Construction, maneuver between several trucks",2026-08-21T10:30:56
scene-0002,c3e0e9f6ee8d4170a3d22a6179f1ca3a,skip,,,d6515448fc1e4af98571ae1663b33efe,samples/CAM_FRONT/n015-2018-07-18-11-07-57+0800__CAM_FRONT__1531883729362460.jpg,singapore-onenorth,"Intersection, peds, waiting vehicle, parked motorcycle at parking lot",2026-08-21T10:31:14
scene-0003,e7ef871f77f44331aefdebc24ec034b7,skip,,,7c0aa537b98344bea85226ba8148ae98,samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201480412460.jpg,singapore-onenorth,"Parking lot, barrier, exit parking lot",2026-08-21T10:31:25
scene-0004,25496f19ffd14bd088cb430bfc01a4d7,skip,,,d59d3c7fb1a1445785274b1a08b5daa1,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531883995912466.jpg,singapore-onenorth,"Random scene, arrive at intersection, cross intersection, jaywalkers",2026-08-21T10:31:35
scene-0005,6f5133fe62b240e797bac25aeff8b531,skip,,,09b340295e3f47a1960c088a1aec3062,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884113412465.jpg,singapore-onenorth,"Overtaken by taxi, construction site",2026-08-21T10:31:42
scene-0006,7deb4760e2244f32b57f9d631b535b66,skip,,,09c012e5bcd54afa8968abf07bcdbf00,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884166912465.jpg,singapore-onenorth,"Sitting construction worker, parked bicycle, ped walking along road, construction vehicle, worker sitting on back of van",2026-08-21T10:32:06
scene-0007,bc219c0fa63b43b4b9dddab47fce1fef,skip,,,dbac6525f76949fa9d32d9e093d57137,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884267662460.jpg,singapore-onenorth,"Van overtaking us, peds, jaywalker, bicycle rack, turn left",2026-08-21T10:32:20
scene-0008,9a61a88ed9094334a73aa93c08222110,skip,,,7f905d3578cf4e15bac0a362251ed74a,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884293112464.jpg,singapore-onenorth,"Several moving pedestrians, parked cards and motorcycle",2026-08-21T10:32:31
scene-0009,dd61533869aa48f2aaa7e8a6418bdbe6,skip,,,4f23e318231b402690dbbdcea385acc3,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884307762460.jpg,singapore-onenorth,"Peds crossing, parked cars, garbage, peds waiting",2026-08-21T10:32:35
scene-0010,daa9fce50073470398da3c2bccdaf21b,skip,,,8ce3f8194c134fd6beee4900a8f1442b,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884409912465.jpg,singapore-onenorth,"Parked motorcycle, person pickung up garbage, pass construction vehicles and entrance to construction site",2026-08-21T10:32:51
